Nelemtj = 608, ElemNodeEnd = 127, ElemMyelenEnd = 607
(Nodeid,phi):  (0,117.319),  (1,117.32),  (2,21.9979),  (3,0.309194),  (4,0.00390932),  (5,-0.000997512),  (6,-0.00107602),  (7,-0.00107765),  (8,-0.00107767),  (9,-0.00107767),  (10,-0.00107767),  (11,-0.00107767),  (12,-0.00107767),  (13,-0.00107767),  (14,-0.00107767),  (15,-0.00107767),  (16,-0.00107767),  (17,-0.00107767),  (18,-0.00107767),  (19,-0.00107767),  (20,-0.00107767),  (21,-0.00107767),  (22,-0.00107767),  (23,-0.00107767),  (24,-0.00107767),  (25,-0.00107767),  (26,-0.00107767),  (27,-0.00107767),  (28,-0.00107767),  (29,-0.00107767),  (30,-0.00107767),  (31,-0.00107766), 
frontloc = 0.001375, frontloc_old = 0.00129317, cond. vel. = 0.0818317 m/s

Writing: "ThinLine2DTestL06ISOV1_12.chk" (0s, XML)
Steps: 1300000  Time: 0.013       
 CPU Time: 48.5727 min.
(Nodeid,phi):  (0,117.359),  (1,117.361),  (2,23.7854),  (3,0.334432),  (4,0.00431289),  (5,-0.00099311),  (6,-0.001078),  (7,-0.00107976),  (8,-0.00107979),  (9,-0.00107979),  (10,-0.00107979),  (11,-0.00107979),  (12,-0.00107979),  (13,-0.00107979),  (14,-0.00107979),  (15,-0.00107979),  (16,-0.00107979),  (17,-0.00107979),  (18,-0.00107979),  (19,-0.00107979),  (20,-0.00107979),  (21,-0.00107979),  (22,-0.00107979),  (23,-0.00107979),  (24,-0.00107979),  (25,-0.00107979),  (26,-0.00107979),  (27,-0.00107979),  (28,-0.00107979),  (29,-0.00107979),  (30,-0.00107979),  (31,-0.00107978), 
frontloc = 0.0013854, frontloc_old = 0.001375, cond. vel. = 0.0104031 m/s

Writing: "ThinLine2DTestL06ISOV1_13.chk" (0s, XML)
Steps: 1400000  Time: 0.014       
 CPU Time: 48.5604 min.
(Nodeid,phi):  (0,117.39),  (1,117.392),  (2,25.7033),  (3,0.361528),  (4,0.00474637),  (5,-0.000988188),  (6,-0.00107994),  (7,-0.00108184),  (8,-0.00108187),  (9,-0.00108187),  (10,-0.00108187),  (11,-0.00108187),  (12,-0.00108187),  (13,-0.00108187),  (14,-0.00108187),  (15,-0.00108187),  (16,-0.00108187),  (17,-0.00108187),  (18,-0.00108187),  (19,-0.00108187),  (20,-0.00108187),  (21,-0.00108187),  (22,-0.00108187),  (23,-0.00108187),  (24,-0.00108187),  (25,-0.00108187),  (26,-0.00108187),  (27,-0.00108187),  (28,-0.00108187),  (29,-0.00108187),  (30,-0.00108187),  (31,-0.00108186), 
frontloc = 0.00145683, frontloc_old = 0.0013854, cond. vel. = 0.0714286 m/s

Writing: "ThinLine2DTestL06ISOV1_14.chk" (0s, XML)
Steps: 1500000  Time: 0.015       
 CPU Time: 48.5423 min.
(Nodeid,phi):  (0,117.414),  (1,117.415),  (2,27.7549),  (3,0.390541),  (4,0.00521071),  (5,-0.000982732),  (6,-0.00108182),  (7,-0.00108388),  (8,-0.00108391),  (9,-0.00108391),  (10,-0.00108391),  (11,-0.00108391),  (12,-0.00108391),  (13,-0.00108391),  (14,-0.00108391),  (15,-0.00108391),  (16,-0.00108391),  (17,-0.00108391),  (18,-0.00108391),  (19,-0.00108391),  (20,-0.00108391),  (21,-0.00108391),  (22,-0.00108391),  (23,-0.00108391),  (24,-0.00108391),  (25,-0.00108391),  (26,-0.00108391),  (27,-0.00108391),  (28,-0.00108391),  (29,-0.00108391),  (30,-0.00108391),  (31,-0.0010839), 
frontloc = 0.0015, frontloc_old = 0.00145683, cond. vel. = 0.0431683 m/s

Writing: "ThinLine2DTestL06ISOV1_15.chk" (0s, XML)
Steps: 1600000  Time: 0.016       
 CPU Time: 48.5396 min.
(Nodeid,phi):  (0,117.429),  (1,117.431),  (2,29.9399),  (3,0.421487),  (4,0.00570616),  (5,-0.000976737),  (6,-0.00108366),  (7,-0.00108588),  (8,-0.00108591),  (9,-0.00108591),  (10,-0.00108591),  (11,-0.00108591),  (12,-0.00108591),  (13,-0.00108591),  (14,-0.00108591),  (15,-0.00108591),  (16,-0.00108591),  (17,-0.00108591),  (18,-0.00108591),  (19,-0.00108591),  (20,-0.00108591),  (21,-0.00108591),  (22,-0.00108591),  (23,-0.00108591),  (24,-0.00108591),  (25,-0.00108591),  (26,-0.00108591),  (27,-0.00108591),  (28,-0.00108591),  (29,-0.00108591),  (30,-0.00108591),  (31,-0.0010859), 
